id,Title
40682,Kingdom 3rd Season
10030,Bakuman. 2nd Season
39535,Mushoku Tensei: Isekai Ittara Honki Dasu
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
17389,Kingdom 2nd Season
22535,Kiseijuu: Sei no Kakuritsu
38883,Haikyuu!!: To the Top
9756,Mahou Shoujo Madoka★Magica
7655,Major S6
13601,Psycho-Pass
5040,One Outs
5341,Ookami to Koushinryou II
5081,Bakemonogatari
39533,Given
6594,Katanagatari
31043,Boku dake ga Inai Machi
5420,Kemono no Souja Erin
2559,Romeo no Aoi Sora
12531,Sakamichi no Apollon
338,Versailles no Bara
4081,Natsume Yuujinchou
30,Neon Genesis Evangelion
13125,Shinsekai yori
25835,Shirobako
28701,Fate/stay night: Unlimited Blade Works 2nd Season
10087,Fate/Zero
486,Kino no Tabi: The Beautiful World
24415,Kuroko no Basket 3rd Season
1210,NHK ni Youkoso!
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
57,Beck
30230,Diamond no Ace: Second Season
38691,Dr. Stone
40052,Great Pretender
1698,Nodame Cantabile
45,Rurouni Kenshin: Meiji Kenkaku Romantan
329,Planetes
31988,Hibike! Euphonium 2
185,Initial D First Stage
32937,Kono Subarashii Sekai ni Shukufuku wo! 2
2402,Ashita no Joe
19363,Gin no Saji 2nd Season
3002,Gyakkyou Burai Kaiji: Ultimate Survivor
42249,Tokyo Revengers
31240,Re:Zero kara Hajimeru Isekai Seikatsu
34798,Yuru Camp△
11843,Danshi Koukousei no Nichijou
5690,Nodame Cantabile: Finale
23327,Space☆Dandy 2nd Season
2966,Ookami to Koushinryou
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku
10271,Gyakkyou Burai Kaiji: Hakairoku-hen
16894,Kuroko no Basket 2nd Season
18115,Magi: The Kingdom of Magic
627,Major S1
1842,Major S3
38731,Diamond no Ace: Act II
1142,Hachimitsu to Clover II
22507,Initial D Final Stage
40729,Nomad: Megalo Box 2
9863,SKET Dance
3091,xxxHOLiC Kei
28171,Shokugeki no Souma
6,Trigun
33486,Boku no Hero Academia 2nd Season
558,Major S2
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season
38680,Fruits Basket 1st Season
37989,Golden Kamuy 2nd Season
42897,Horimiya
3226,Major S4
38481,Toaru Kagaku no Railgun T
43325,Yuukoku no Moriarty 2nd Season
7674,Bakuman.
10800,Chihayafuru
37520,Dororo
1889,Higurashi no Naku Koro ni Kai
6811,InuYasha: Kanketsu-hen
18195,Little Busters!: Refrain
41457,86
34636,Ballroom e Youkoso
32867,Bungou Stray Dogs 2nd Season
40852,Dr. Stone: Stone Wars
22297,Fate/stay night: Unlimited Blade Works
1735,Naruto: Shippuuden
23623,Non Non Biyori Repeat
30503,Noragami Aragoto
32843,Senki Zesshou Symphogear XV
440,Shoujo Kakumei Utena
35838,Shoujo Shuumatsu Ryokou
962,Aria the Natural
37171,Asobi Asobase
38003,Bungou Stray Dogs 3rd Season
1453,Maison Ikkoku
1519,Black Lagoon: The Second Barrage
28223,Death Parade
36296,Hinamatsuri (TV)
853,Ouran Koukou Host Club
11597,Nisemonogatari
4224,Toradora!
239,Gankutsuou
25681,Kamisama Hajimemashita◎
39783,5-toubun no Hanayome ∬
36456,Boku no Hero Academia 3rd Season
235,Detective Conan
39792,Eizouken ni wa Te wo Dasu na!
7791,K-On!!
3701,Kaiba
1604,Katekyo Hitman Reborn!
35857,Lupin III: Part 5
4477,Nodame Cantabile: Paris-hen
1827,Seirei no Moribito
2150,Tanoshii Muumin Ikka
19815,No Game No Life
13759,Sakura-sou no Pet na Kanojo
32282,Shokugeki no Souma: Ni no Sara
232,Cardcaptor Sakura
813,Dragon Ball Z
6746,Durarara!!
121,Fullmetal Alchemist
40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season
37962,IDOLiSH7: Second Beat!
18,Initial D Fourth Stage
30831,Kono Subarashii Sekai ni Shukufuku wo!
721,Princess Tutu
34822,Tsuki ga Kirei
186,Initial D Second Stage
39198,Kanata no Astra
8129,Kuragehime
2581,Mobile Suit Gundam 00
12189,Hyouka
28025,Tsukimonogatari
34076,Uchouten Kazoku 2
4722,Skip Beat!
23283,Zankyou no Terror
6547,Angel Beats!
24833,Ansatsu Kyoushitsu
18689,Diamond no Ace
11771,Kuroko no Basket
2025,Darker than Black: Kuro no Keiyakusha
16918,Gin no Saji
38993,Karakai Jouzu no Takagi-san 2
22145,Kuroshitsuji: Book of Circus
3927,Mobile Suit Gundam 00 Second Season
44235,Pui Pui Molcar
37430,Tensei shitara Slime Datta Ken
24277,Yowamushi Pedal: Grande Road
40911,Yuukoku no Moriarty
1559,Shijou Saikyou no Deshi Kenichi
40907,World Trigger 2nd Season
38668,Dorohedoro
135,Hikaru no Go
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
302,Mirai Shounen Conan
39592,Mobile Suit Gundam: The Origin - Advent of the Red Comet
2164,Dennou Coil
27833,Durarara!!x2 Ketsu
8425,Gosick
237,Koukyoushihen Eureka Seven
35062,Mahoutsukai no Yome
35788,Shokugeki no Souma: San no Sara
1974,Glass no Kamen (2005)
15059,Initial D Fifth Stage
18679,Kill la Kill
1471,City Hunter 2
72,Full Metal Panic? Fumoffu
14713,Kamisama Hajimemashita
41402,Mairimashita! Iruma-kun 2nd Season
1914,Saiunkoku Monogatari 2nd Season
40174,Zombieland Saga: Revenge
339,Serial Experiments Lain
153,Juuni Kokuki
16706,Kami nomi zo Shiru Sekai: Megami-hen
25013,Akatsuki no Yona
27663,Baby Steps 2nd Season
37870,BanG Dream! 3rd Season
889,Black Lagoon
2167,Clannad
1482,D.Gray-man
589,Ginga Nagareboshi Gin
16,Hachimitsu to Clover
1486,Kodomo no Omocha (TV)
2034,Lovely★Complex
14513,Magi: The Labyrinth of Magic
16067,Nagi no Asu kara
42923,SK∞
16049,Toaru Kagaku no Railgun S
6211,Tokyo Magnitude 8.0
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
535,Slayers Next
34572,Black Clover
4789,ef: A Tale of Melodies.
7054,Kaichou wa Maid-sama!
41169,Love Live! Superstar!!
31251,Mobile Suit Gundam: Iron-Blooded Orphans
39570,High Score Girl II
39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen
7720,Ookiku Furikabutte: Natsu no Taikai-hen
36949,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen
30015,ReLIFE
846,School Rumble Ni Gakki
35790,Tate no Yuusha no Nariagari
1065,Touch
31964,Boku no Hero Academia
38408,Boku no Hero Academia 4th Season
23199,Durarara!!x2 Shou
12031,Kingdom
40397,Maoujou de Oyasumi
2004,Hanada Shounen-shi
40716,Kakushigoto (TV)
6045,Kimi ni Todoke
9656,Kimi ni Todoke 2nd Season
33206,Kobayashi-san Chi no Maid Dragon
25879,Working!!!
861,xxxHOLiC
31174,Osomatsu-san
5682,Phantom: Requiem for the Phantom
42941,Uma Musume: Pretty Derby (TV) Season 2
31173,Akagami no Shirayuki-hime 2nd Season
27831,Durarara!!x2 Ten
27989,Hibike! Euphonium
387,Haibane Renmei
9996,Hyouge Mono
1530,Kanon (2006)
77,Mahou Shoujo Lyrical Nanoha A's
20507,Noragami
10049,Nurarihyon no Mago: Sennen Makyou
32615,Youjo Senki
18179,Yowamushi Pedal
66,Azumanga Daioh
40935,Beastars 2nd Season
223,Dragon Ball
21855,Hanamonogatari
967,Hokuto no Ken
14719,JoJo no Kimyou na Bouken (TV)
5678,Kobato.
17265,Log Horizon
10721,Mawaru Penguindrum
11739,Kimi to Boku. 2
2076,Kindaichi Shounen no Jikenbo
6774,Kuuchuu Buranko
15689,Nekomonogatari: Kuro
14075,Zetsuen no Tempest
17549,Non Non Biyori
43299,Wonder Egg Priority
35968,Wotaku ni Koi wa Muzukashii
39195,Beastars
73,Full Metal Panic! The Second Raid
38337,Gochuumon wa Usagi Desu ka? Bloom
15,Eyeshield 21
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia
122,Full Moon wo Sagashite
9289,Hanasaku Iroha
11239,Hidamari Sketch x Honeycomb
48488,Higurashi no Naku Koro ni Sotsu
20,Naruto
658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai
28,Yakitate!! Japan
30279,Yuru Yuri San☆Hai!
2159,Ookiku Furikabutte
28297,Ore Monogatari!!
29803,Overlord
37675,Overlord III
27775,Plastic Memories
2924,ef: A Tale of Memories.
3907,Ginga Sengoku Gunyuuden Rai
996,Bishoujo Senshi Sailor Moon: Sailor Stars
37435,Carole & Tuesday
1470,City Hunter
31339,Drifters
7062,Hidamari Sketch x ☆☆☆
934,Higurashi no Naku Koro ni
2829,Ie Naki Ko Remy
1594,Jigoku Shoujo Futakomori
13331,Jormungand: Perfect Order
427,Kaleido Star
10080,Kami nomi zo Shiru Sekai II
27947,Lupin III (2015)
1088,Macross
957,Saiunkoku Monogatari
114,Sakigake!! Cromartie Koukou
24,School Rumble
11123,Sekaiichi Hatsukoi 2
12815,Shirokuma Cafe
2618,Takarajima
41389,Tonikaku Kawaii
31098,Ushio to Tora (TV) 2nd Season
37786,Yagate Kimi ni Naru
3228,Zoku Sayonara Zetsubou Sensei
2158,Terra e... (TV)
9941,Tiger & Bunny
32995,Yuri!!! on Ice
790,Ergo Proxy
3572,Macross F
23289,Gekkan Shoujo Nozaki-kun
45577,IDOLiSH7: Third Beat!
36563,Megalo Box
85,Mobile Suit Zeta Gundam
6377,Zan Sayonara Zetsubou Sensei
2605,Sayonara Zetsubou Sensei
9513,Beelzebub
35075,Hoozuki no Reitetsu 2nd Season
20057,Space☆Dandy
32093,Tanaka-kun wa Itsumo Kedaruge
22,Tennis no Ouji-sama
6582,Tentai Senshi Sunred 2nd Season
48580,Vanitas no Karte
17909,Uchouten Kazoku
35222,Gakuen Babysitters
40046,Id:Invaded
38080,Kono Oto Tomare!
1695,Les Misérables: Shoujo Cosette
31741,Magi: Sinbad no Bouken (TV)
25517,Magic Kaito 1412
532,Bishoujo Senshi Sailor Moon S
42250,Bungou Stray Dogs Wan!
33489,Little Witch Academia (TV)
569,Musekinin Kanchou Tylor
400,Seihou Bukyou Outlaw Star
3588,Soul Eater
849,Suzumiya Haruhi no Yuuutsu
12445,Tasogare Otome x Amnesia
10521,Working'!!
6586,Yume-iro Pâtissière
1485,Akachan to Boku
40904,Bokutachi no Remake
2035,Eikoku Koi Monogatari Emma: Molders-hen
267,Gungrave
37029,Hoozuki no Reitetsu 2nd Season: Sono Ni
2762,Igano Kabamaru
249,InuYasha
34745,Mahoujin Guruguru (2017)
4087,Michiko to Hatchin
36028,Golden Kamuy
5680,K-On!
34451,Kekkai Sensen & Beyond
322,Paradise Kiss
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV)
12403,Yuru Yuri♪♪
397,Seikai no Senki II
32998,91 Days
21185,Baby Steps
3604,Hidamari Sketch x 365
21877,High Score Girl
39534,Jibaku Shounen Hanako-kun
12413,Jormungand
253,Jungle wa Itsumo Hare nochi Guu
388,Capeta
29095,Grisaia no Rakuen
1172,Slayers Try
39575,Somali to Mori no Kamisama
202,Wolf's Rain
890,Yuusha-Ou GaoGaiGar
7588,Saraiya Goyou
269,Bleach
1472,City Hunter 3
29787,Gochuumon wa Usagi Desu ka??
97,Last Exile
31478,Bungou Stray Dogs
15809,Hataraku Maou-sama!
5630,Higashi no Eden
11887,Kokoro Connect
795,Oniisama e...
22319,Tokyo Ghoul
23755,Nanatsu no Taizai
30727,Saenai Heroine no Sodatekata ♭
5005,Tentai Senshi Sunred
1571,Ghost Hunt
1491,Ginga Tetsudou 999
7645,Heartcatch Precure!
20431,Hoozuki no Reitetsu
2828,Ie Naki Ko
4814,Junjou Romantica 2
4080,Kyou kara Maou! 3rd Series
1425,Lupin III: Part II
3750,Maria-sama ga Miteru 4th
19111,Love Live! School Idol Project 2nd Season
13203,Lupin the Third: Mine Fujiko to Iu Onna
43439,Shadows House
154,Shaman King
7724,Shiki
30123,Akagami no Shirayuki-hime
552,Digimon Adventure
2508,Genshiken 2
17895,Golden Time
10357,Jinrui wa Suitai Shimashita
80,Mobile Suit Gundam
93,Mobile Suit Gundam SEED
28999,Charlotte
1473,City Hunter '91
1818,Claymore
19319,Gundam Build Fighters
18153,Kyoukai no Kanata
19703,Kyousou Giga (TV)
35073,Overlord II
210,Ranma ½
8311,Tegamibachi Reverse
26,Texhnolyze
1254,Saint Seiya
39940,Shokugeki no Souma: Shin no Sara
24893,Sidonia no Kishi: Daikyuu Wakusei Seneki
407,Tantei Gakuen Q
32673,Udon no Kuni no Kiniro Kemari
479,Ueki no Housoku
40956,Enen no Shouboutai: Ni no Shou
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season"
3545,Kochira Katsushikaku Kameari Kouenmae Hashutsujo
1887,Lucky☆Star
9074,Arakawa Under the Bridge x Bridge
6024,Chi's Sweet Home: Atarashii Ouchi
14741,Chuunibyou demo Koi ga Shitai!
38145,"Doukyonin wa Hiza, Tokidoki, Atama no Ue."
36593,Hug tto! Precure
534,Slayers
1562,Yamato Nadeshiko Shichihenge♥
34914,New Game!!
9926,Sekaiichi Hatsukoi
5074,Tetsuwan Birdy Decode:02
1375,Watashi no Ashinaga Ojisan
8516,Baka to Test to Shoukanjuu Ni!
31733,Bishoujo Senshi Sailor Moon Crystal Season III
32370,D.Gray-man Hallow
5835,Hanasakeru Seishounen
33899,IDOLiSH7
35860,Karakai Jouzu no Takagi-san
41530,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season
37924,Ani ni Tsukeru Kusuri wa Nai! 2
7193,Aoi Bungaku Series
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
8426,Hourou Musuko
39196,Mairimashita! Iruma-kun
34577,Nanatsu no Taizai: Imashime no Fukkatsu
8795,Panty & Stocking with Garterbelt
35240,Princess Principal
20847,Seitokai Yakuindomo*
2104,Seto no Hanayome
709,Mujin Wakusei Survive
2582,Soukou Kihei Votoms
13535,Binbougami ga!
966,Crayon Shin-chan
2471,Doraemon (1979)
6033,Dragon Ball Kai
31433,Ginga Eiyuu Densetsu: Die Neue These - Kaikou
28669,Go! Princess Precure
4192,Hayate no Gotoku!!
38619,Joshikousei no Mudazukai
4898,Kuroshitsuji
90,Mobile Suit Gundam Wing
21405,Bokura wa Minna Kawai-sou
1281,Gakkou no Kaidan
25649,Junjou Romantica 3
8525,Kami nomi zo Shiru Sekai
31764,Nejimaki Seirei Senki: Tenkyou no Alderamin
396,Seikai no Senki
582,Sexy Commando Gaiden: Sugoi yo!! Masaru-san
33502,Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?
2451,Space Cobra
1279,Taiyou no Ko Esteban
6213,Toaru Kagaku no Railgun
95,Turn A Gundam
1000,Uchuu Kaizoku Captain Herlock
5530,Pandora Hearts
5485,Shin Mazinger Shougeki! Z-hen
48849,Sonny Boy
182,Tenkuu no Escaflowne
12883,Tsuritama
283,Akage no Anne
28249,Arslan Senki (TV)
530,Bishoujo Senshi Sailor Moon
740,Bishoujo Senshi Sailor Moon R
3841,Chi's Sweet Home
32491,Kanojo to Kanojo no Neko: Everything Flows
516,Keroro Gunsou
10460,Kimi to Boku.
9510,Mitsudomoe Zouryouchuu!
477,Aria the Animation
22043,Fairy Tail (2014)
120,Fruits Basket
106,Hana yori Dango
34542,Inuyashiki
324,Kidou Keisatsu Patlabor: On Television
251,Kyou kara Maou!
2963,Minami-ke
14511,Minami-ke Tadaima
323,Mousou Dairinin
290,Seikai no Monshou
1293,Urusei Yatsura
6956,Working!!
12021,Poyopoyo Kansatsu Nikki
2547,Shoukoujo Sara
19775,Sidonia no Kishi
18245,White Album 2
31783,Yowamushi Pedal: New Generation
37956,3D Kanojo: Real Girl 2nd Season
38101,5-toubun no Hanayome
33337,ACCA: 13-ku Kansatsu-ka
39959,Ani ni Tsukeru Kusuri wa Nai! 3
22777,Dragon Ball Kai (2014)
38671,Enen no Shouboutai
32979,Flip Flappers
31859,Hai to Gensou no Grimgar
31227,Kindaichi Shounen no Jikenbo Returns 2nd Season
41433,Akudama Drive
21995,Ao Haru Ride
39681,D4DJ: First Mix
1412,Lupin III
39071,Machikado Mazoku
444,Maria-sama ga Miteru: Haru
30240,Prison School
18119,Servant x Service
21843,Shingeki no Bahamut: Genesis
856,Utawarerumono
34284,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou
34445,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou
1690,Bokura no
33354,Cardcaptor Sakura: Clear Card-hen
22265,Free!: Eternal Summer
240,Genshiken
36094,Hakumei to Mikochi
488,Ichigo Mashimaro
160,"Ima, Soko ni Iru Boku"
33253,Ajin 2nd Season
14941,AKB0048: Next Stage
150,Blood+
60,Chrno Crusade
233,Daa! Daa! Daa!
345,Eikoku Koi Monogatari Emma
71,Full Metal Panic!
74,Gakuen Alice
18055,Hakkenden: Touhou Hakken Ibun 2nd Season
228,Jigoku Shoujo
3713,Jigoku Shoujo Mitsuganae
1915,Mahou Shoujo Lyrical Nanoha StrikerS
31592,Pokemon XY&Z
65,Rozen Maiden: Träumend
22101,Soredemo Sekai wa Utsukushii
6444,Tegamibachi
7592,Nurarihyon no Mago
28927,Owari no Seraph: Nagoya Kessen-hen
1699,Romeo x Juliet
35503,Shoujo☆Kageki Revue Starlight
2557,Trapp Ikka Monogatari
32977,Aggressive Retsuko
32948,Fune wo Amu
123,Fushigi Yuugi
24439,Kekkai Sensen
951,Chibi Maruko-chan
110,Chuuka Ichiban!
874,Digimon Tamers
4725,Ga-Rei: Zero
24765,Gakkougurashi!
18897,Nisekoi
32729,Orange
42282,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X
30549,Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season
10278,The iDOLM@STER
34902,Tsurezure Children
353,Ojamajo Doremi Dokkaan!
36513,Rokuhoudou Yotsuiro Biyori
40392,Runway de Waratte
5507,Senjou no Valkyria
36653,Tsurune: Kazemai Koukou Kyuudoubu
43756,Bakuten!!
6702,Fairy Tail
5231,Inazuma Eleven
1606,Kekkaishi (TV)
5494,Konnichiwa Anne: Before Green Gables
331,Mahoujin Guruguru
2985,Majin Tantei Nougami Neuro
2213,Black Jack (TV)
2229,Dragon Quest: Dai no Daibouken (TV)
132,GetBackers
9065,Hakuouki Hekketsuroku
27991,K: Return of Kings
40221,Kami no Tou
145,Kareshi Kanojo no Jijou
35079,Kino no Tabi: The Beautiful World - The Animated Series
23321,Log Horizon 2nd Season
1483,Master Keaton
584,Noein: Mou Hitori no Kimi e
35067,Osomatsu-san 2nd Season
969,Tsubasa Chronicle 2nd Season
28677,Yamada-kun to 7-nin no Majo (TV)
31953,New Game!
39355,Radiant 2nd Season
32836,Senki Zesshou Symphogear AXZ
2787,Shakugan no Shana II (Second)
39597,Sword Art Online: Alicization - War of Underworld
29854,Ushio to Tora (TV)
10495,Yuru Yuri
7647,Arakawa Under the Bridge
1239,Bishoujo Senshi Sailor Moon SuperS
33988,Demi-chan wa Kataritai
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
36704,Free!: Dive to the Future
31931,Full Metal Panic! Invisible Victory
37141,Hataraku Saibou (TV)
3092,Junjou Romantica
32792,Mobile Suit Gundam Unicorn RE:0096
1946,Ashita no Nadja
37869,BanG Dream! 2nd Season
129,Gensoumaden Saiyuuki
37007,Hinomaruzumou
40879,Love Live! Nijigasaki Gakuen School Idol Doukoukai
42590,Mashiro no Oto
3001,Moyashimon
24135,Nobunaga Concerto
32542,Sakamoto Desu ga?
8675,Seitokai Yakuindomo
8937,Toaru Majutsu no Index II
32681,Uchuu Patrol Luluco
1650,Uchuu Senkan Yamato
24405,World Trigger
35789,Yowamushi Pedal: Glory Line
9441,Yume-iro Pâtissière SP Professional
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki
3673,Nijuu Mensou no Musume
10161,No.6
2112,Over Drive
1557,Shounen Onmyouji
2558,Wakakusa Monogatari: Nan to Jo-sensei
16241,"Yondemasu yo, Azazel-san. Z"
880,Aa! Megami-sama!: Sorezore no Tsubasa
6347,Baka to Test to Shoukanjuu
67,Basilisk: Kouga Ninpou Chou
2214,Black Jack 21
8086,Densetsu no Yuusha no Densetsu
37958,Fukigen na Mononokean Tsuzuki
23251,Gugure! Kokkuri-san
2405,Hello! Lady Lynn
37972,Hoshiai no Sora
17,Hungry Heart: Wild Striker
34973,Love Live! Sunshine!! 2nd Season
5162,Minami-ke Okaeri
7627,Mitsudomoe
8687,Doraemon (2005)
7661,Giant Killing
38790,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.
33089,Kemono Friends
96,Mobile Fighter G Gundam
708,Patapata Hikousen no Bouken
34561,Re:Creators
18139,Tonari no Seki-kun
40620,Uramichi Oniisan
6634,Sengoku Basara Ni
11371,Shin Tennis no Ouji-sama
2562,Shion no Ou
34547,Shoukoku no Altair
6802,So Ra No Wo To
36474,Sword Art Online: Alicization
36470,Tada-kun wa Koi wo Shinai
15731,Tamayura: More Aggressive
21435,Yama no Susume: Second Season
35672,Yama no Susume: Third Season
9919,Ao no Exorcist
41587,Boku no Hero Academia 5th Season
18671,Chuunibyou demo Koi ga Shitai! Ren
20031,D-Frag!
41694,Hataraku Saibou Black (TV)
2026,Hayate no Gotoku!
1356,Hokuto no Ken 2
914,Ike! Ina-chuu Takkyuubu
21327,Isshuukan Friends.
40571,Majo no Tabitabi
2800,Candy Candy
226,Elfen Lied
455,Fantastic Children
31706,Fate/kaleid liner Prisma☆Illya 3rei!!
41120,Fugou Keiji: Balance:Unlimited
2002,Heroic Age
2012,Jigoku Sensei Nube
1567,Kaitou Saint Tail
1087,Kimagure Orange☆Road
40504,Major 2nd (TV) 2nd Season
2549,Perrine Monogatari
209,R.O.D: The TV
6773,Shakugan no Shana III (Final)
10033,Toriko
177,Tsubasa Chronicle
43523,Tsuki ga Michibiku Isekai Douchuu
46093,Shiroi Suna no Aquatope
3470,Special A
1372,Taiho Shichau zo (TV)
567,The Big O
10216,"Yondemasu yo, Azazel-san. (TV)"
32717,Aikatsu Stars!
35972,Fairy Tail: Final Series
1251,Fushigi no Umi no Nadia
14131,Girls & Panzer
852,Gokinjo Monogatari
4039,Golgo 13 (TV)
37497,Irozuku Sekai no Ashita kara
22817,Kindaichi Shounen no Jikenbo Returns
250,Konjiki no Gash Bell!!
35241,Konohana Kitan
10790,Kore wa Zombie Desu ka? of the Dead
32828,Amaama to Inazuma
31821,Arslan Senki (TV): Fuujin Ranbu
4981,Casshern Sins
31376,Flying Witch
17729,Grisaia no Kajitsu
23269,Hello!! Kiniro Mosaic
40010,Ishuzoku Reviewers
10568,Kamisama no Memochou
34984,Koi wa Ameagari no You ni
12487,Kyoukaisenjou no Horizon II
1563,Magic Knight Rayearth II
15315,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?
38659,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru
3369,Shoubushi Densetsu Tetsuya
41488,Tensura Nikki: Tensei shitara Slime Datta Ken
1985,UFO Robo Grendizer
37976,Zombieland Saga
1212,Oban Star-Racers
10588,Persona 4 the Animation
17249,Pretty Rhythm: Rainbow Live
23277,Saenai Heroine no Sodatekata
37426,Sarazanmai
8407,Sora no Otoshimono: Forte
14227,Tonari no Kaibutsu-kun
16005,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke
29,Zipang
857,Air Gear
11111,Another
21743,Donten ni Warau
587,Hanbun no Tsuki ga Noboru Sora
15451,High School DxD New
36754,Kakuriyo no Yadomeshi
